neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
East Harlem,331 East 108th Street,3B,10029,2,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/331-east-108-street-new_york/3b
Bedford-Stuyvesant,344 Gates Avenue,1C,11216,1,1,0,2186,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/344-gates-avenue-brooklyn/1c
Yorkville,324 East 84th Street,4B,10028,1,1,0,3200,0,RENTAL,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/324-east-84-street-new_york/4b
Hunters Point,44-41 Purves Street,2503,11101,1,1,0,4292,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/halo-lic/2503
Prospect Heights,675 Vanderbilt Avenue,1A,11238,1,1,0,2800,0,CO_OP,500,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/675-vanderbilt-avenue-brooklyn/1a
Williamsburg,228 Berry Street,8N,11249,2,2,0,6800,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/228-berry-street-brooklyn/8n
Stuyvesant Heights,449 Bainbridge Street,2,11233,3,1,0,3300,0,THREEFAMILY,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/449-bainbridge-street-brooklyn/2
Vinegar Hill,79 Bridge Street,4H,11201,1,1,0,6000,0,CONDO,1000,f,f,,0.00,2025-06-15,2025-05-09,https://streeteasy.com/building/the-bridges/4h
Boerum Hill,526 Baltic Street,7C,11217,2,2,0,6000,5500,RENTAL,0,f,t,12,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-baltic-canal/7c
Bushwick,1269 Jefferson Avenue,1,11221,3,2,0,4700,0,THREEFAMILY,0,f,t,,0.00,2025-06-05,2025-05-09,https://streeteasy.com/building/1269-jefferson-avenue-brooklyn/1
Murray Hill,210 East 38th Street,1A,10016,2,1,0,4100,0,RENTAL,0,f,f,,0.00,2025-06-09,2025-05-09,https://streeteasy.com/building/210-east-38-street-new_york/1a
Fordham,2710 Decatur Avenue,1A,10458,1,1,0,1850,0,THREEFAMILY,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/2710-decatur-avenue-bronx/1a
Bushwick,54 Noll Street,437,11206,2,1,0,3526,0,RENTAL,600,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/54-noll-street-brooklyn/437
East Village,725 East Ninth Street,2B,10009,3,1,0,5195,0,RENTAL,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/725-east-9-street-new_york/2b
Stuyvesant Heights,478 Decatur Street,3,11233,2,1,0,3650,0,THREEFAMILY,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/478-decatur-street-brooklyn/3
Lower East Side,132 Ludlow Street,12,10002,2,2,0,4200,0,RENTAL,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/100-rivington-street-new_york/12
Bushwick,177 Palmetto Street,2E,11221,2,1,1,3500,0,RENTAL,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/177-palmetto-street-brooklyn/2e
Upper West Side,137 Riverside Drive,12B,10024,4,4,0,49000,0,CO_OP,0,t,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-clarendon/rental/4733249
Paulus Hook,77 Hudson Street,2202,07302,1,1,0,3700,0,CONDO,731,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/77-hudson/2202
Financial District,110 Greenwich Street,6F,10006,3,1,0,6995,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/greenwich-house-lofts/6f
Boerum Hill,526 Baltic Street,7D,11217,0,1,0,3700,3392,RENTAL,0,f,t,12,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-baltic-canal/7d
Cobble Hill,194 Court Street,5,11201,1,1,0,2995,0,RENTAL,550,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/194-court-street-brooklyn/5
Richmond Hill,87-23 118th Street,AB,11418,1,1,0,1450,0,TWOFAMILY,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/87_21-118-street-richmond_hill/ab
Concourse,1119 Grant Avenue,2C,10456,3,2,0,3300,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/1119-grant-avenue-bronx/2c
Bushwick,4 Stanwix Street,2L,11206,2,1,0,3950,0,MIXED_USE,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/4-stanwix-street-brooklyn/2l
Turtle Bay,210 East 47th Street,5J,10017,1,1,0,3799,0,CONDO,0,t,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/210-east-47-street-new_york/5j
Williamsburg,28 Powers Street,3L,11211,2,2,0,3999,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/28-powers-street-brooklyn/3l
Greenpoint,575 Meeker Avenue,2,11222,2,1,0,3300,0,THREEFAMILY,0,f,t,,0.00,2025-05-10,2025-05-09,https://streeteasy.com/building/575-meeker-avenue-brooklyn/2
Long Island City,41-46 27th Street,1202,11101,1,1,0,4550,4200,RENTAL,0,f,t,13,1.00,2025-07-02,2025-05-09,https://streeteasy.com/building/link-apartments-qpn/1202
East Village,184 1st Avenue,16,10009,2,1,0,4175,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/184-1-avenue-new_york/16
Crown Heights,806 Saint Johns Place,2A,11216,1,1,0,3400,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/806-st-johns-place-brooklyn/2a
Williamsburg,462 Keap Street,1P,11211,2,1,1,6250,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/462-keap-street-brooklyn/1p
Boerum Hill,526 Baltic Street,7E,11217,2,1,0,5225,4790,RENTAL,0,f,t,12,1.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-baltic-canal/7e
Upper West Side,319 West 76th Street,16,10023,0,1,0,2850,0,RENTAL,0,f,t,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/319-west-76-street-new_york/16
Bushwick,228 Jefferson Street,3B,11237,4,1,0,4499,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/228-jefferson-street-brooklyn/3b
Lenox Hill,226 East 70th Street,6G,10021,3,2,0,6795,0,RENTAL,0,f,t,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/226-east-70-street-new_york/6g
Fort George,360 Wadsworth Avenue,32,10040,3,1,0,2450,0,RENTAL,0,f,t,,0.00,2025-05-08,2025-05-09,https://streeteasy.com/building/360-wadsworth-avenue-new_york/32
Hoboken,523 Washington Street,1,07030,1,1,0,3650,0,UNKNOWN,1000,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/523-washington-street-hoboken/1
Williamsburg,462 Keap Street,5H,11211,2,2,0,6950,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/462-keap-street-brooklyn/5h
South Harlem,1405 5th Avenue,4E,10029,1,1,0,2327,0,CONDO,0,f,f,,0.00,2025-07-01,2025-05-09,https://streeteasy.com/building/1405-5-avenue-new_york/4e
Waterfront,160 Morgan Street,3409,07302,2,2,0,5560,0,RENTAL,1189,f,t,,0.00,2025-07-08,2025-05-09,https://streeteasy.com/building/the-morgan-at-provost-square/3409
Inwood,72 Seaman Avenue,5C,10034,1,1,0,2350,0,RENTAL,0,f,t,,0.00,2025-05-07,2025-05-09,https://streeteasy.com/building/72-seaman-avenue-new_york/5c
Williamsburg,81 South Sixth Street,3,11249,3,2,0,5495,0,TOWNHOUSE,0,f,t,,0.00,2025-05-21,2025-05-09,https://streeteasy.com/building/81-south-6-street-brooklyn/3
Park Slope,190 Garfield Place,1C,11215,2,2,0,7100,0,CONDO,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/190-garfield-place-brooklyn/1c
Lower East Side,229 Chrystie Street,918E,10002,1,1,0,5995,5745,RENTAL,0,f,t,12,0.50,2025-05-09,2025-05-09,https://streeteasy.com/building/the-chrystie/918e
Lower East Side,229 Chrystie Street,608D,10002,0,1,0,4385,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-chrystie/608d
Greenpoint,210 Greenpoint Avenue,4K,11222,1,1,0,4400,3911,RENTAL,0,f,t,18,2.00,2025-04-02,2025-05-09,https://streeteasy.com/building/the-dome/4k
Lower East Side,229 Chrystie Street,1118B,10002,1,1,0,6045,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-chrystie/1118b
Lower East Side,229 Chrystie Street,1212B,10002,1,1,0,5845,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/the-chrystie/1212b
East Williamsburg,234 Boerum Street,3L,11206,3,1,1,5000,0,TWOFAMILY,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/234-boerum-street-brooklyn/3l
West Village,100 Jane Street,2E,10014,1,2,0,9095,0,RENTAL,0,f,t,,0.00,2021-05-15,2025-05-09,https://streeteasy.com/building/100-jane-street-new_york/2e
Clinton Hill,451 Washington Avenue,3B,11238,0,1,0,2999,0,RENTAL,0,f,f,,0.00,2025-07-04,2025-05-09,https://streeteasy.com/building/451-washington-avenue-brooklyn/3b
Williamsburg,471 Keap Street,PENTHOUSE1,11211,3,1,1,6950,0,RENTAL,0,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/keap-street-lofts/penthouse1
West Village,110 Horatio Street,312,10014,0,1,0,5175,0,RENTAL,0,f,t,,0.00,2021-03-15,2025-05-09,https://streeteasy.com/building/110-horatio-street-new_york/312
East Village,68 East 1st Street,3A,10003,1,1,0,3750,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/68-east-1-street-new_york/3a
West Village,100 Jane Street,9Q,10014,0,1,0,4850,0,RENTAL,0,f,t,,0.00,2021-04-10,2025-05-09,https://streeteasy.com/building/100-jane-street-new_york/9q
Morningside Heights,3157 Broadway,12,10027,2,1,0,3595,0,RENTAL,0,f,f,,0.00,2025-05-07,2025-05-09,https://streeteasy.com/building/3157-broadway-new_york/12
Bedford-Stuyvesant,492 Willoughby Avenue,PHA,11206,2,1,0,2850,0,THREEFAMILY,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/492-willoughby-avenue-brooklyn/pha
Secaucus,1332 Harmon Cove Tower,1332,07094,2,2,0,3300,0,CONDO,1525,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/1332-harmon-cove-tower-secaucus/rental/4733291
Chelsea,250 West 19th Street,03D,10011,1,1,0,5600,0,RENTAL,0,f,t,,0.00,2025-06-21,2025-05-09,https://streeteasy.com/building/the-grove-250-west-19-street-new_york/03d
Chelsea,250 West 19th Street,03F,10011,1,1,0,5550,0,RENTAL,0,f,t,,0.00,2025-04-27,2025-05-09,https://streeteasy.com/building/the-grove-250-west-19-street-new_york/03f
