neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Upper West Side,206 West 80th Street,3FW,10024,1,1,0,3995,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/206-west-80-street-new_york/3fw
Battery Park City,225 Rector Place,11R,10280,1,1,0,4800,0,CONDO,671,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/225-rector-place-new_york/rental/4778846
East Village,624 East 9th Street,4,10009,3,2,0,7500,0,MIXED_USE,0,t,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/624-east-9-street-new_york/4
Upper West Side,784 Columbus Avenue,17N,10025,0,1,0,3850,0,RENTAL,575,t,f,,0.00,2025-07-15,2025-06-26,https://streeteasy.com/building/784-columbus-avenue-new_york/17n
Greenpoint,275 Nassau Avenue,2B,11222,3,2,0,6495,5995,THREEFAMILY,0,f,f,13,1.00,2025-07-01,2025-06-26,https://streeteasy.com/building/275-nassau-avenue-brooklyn/2b
Windsor Terrace,78 East 4th Street,2L,11218,3,1,0,4500,0,RENTAL,0,f,f,,0.00,2025-02-01,2025-06-26,https://streeteasy.com/building/78-east-4-street-brooklyn/2l
Forest Hills,89-52 70th Avenue,2B,11375,3,1,1,3000,0,HOUSE,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/89_52-70-avenue-forest_hills/2b
Downtown Brooklyn,45 Hoyt Street,17H,11201,1,1,0,4612,0,RENTAL,681,f,f,,0.00,2025-07-19,2025-06-26,https://streeteasy.com/building/hoyt-and-horn/17h
West New York,55 Riverwalk Place,623,07093,3,2,0,5148,0,RENTAL,1500,f,f,,0.00,2024-12-20,2025-06-26,https://streeteasy.com/building/55-riverwalk-place-west_new_york/623
West New York,55 Riverwalk Place,909,07093,3,2,0,5007,0,RENTAL,1325,f,f,,0.00,2024-12-20,2025-06-26,https://streeteasy.com/building/55-riverwalk-place-west_new_york/909
West New York,55 Riverwalk Place,323,07093,3,2,0,6003,0,RENTAL,1500,f,f,,0.00,2024-12-20,2025-06-26,https://streeteasy.com/building/55-riverwalk-place-west_new_york/323
Hudson Yards,455 10th Avenue,29B,10018,1,1,0,7560,0,RENTAL,0,f,f,,0.00,2025-07-29,2025-06-26,https://streeteasy.com/building/the-set/29b
West New York,55 Riverwalk Place,943,07093,2,2,0,3886,0,RENTAL,1134,f,f,,0.00,2024-12-20,2025-06-26,https://streeteasy.com/building/55-riverwalk-place-west_new_york/943
West New York,55 Riverwalk Place,961,07093,1,1,0,2986,0,RENTAL,754,f,f,,0.00,2025-06-24,2025-06-26,https://streeteasy.com/building/55-riverwalk-place-west_new_york/961
Lincoln Square,33 West End Avenue,11C,10023,1,1,0,4550,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/33-west-end-avenue-new_york/11c
Prospect Lefferts Gardens,333 Lincoln Road,1L,11225,3,1,0,3900,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/333-lincoln-road-brooklyn/1l
West Chelsea,434 W. 19th Street,02D,10011,0,1,0,3700,0,RENTAL,0,f,f,,0.00,2025-08-07,2025-06-26,https://streeteasy.com/building/434-west-19-street-new_york/02d
Yorkville,423 East 82nd Street,2E,10028,0,1,0,3195,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/423-east-82-street-new_york/2e
Williamsburg,244 Ainslie Street,2,11211,0,1,0,2895,0,MIXED_USE,600,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/244-ainslie-street-brooklyn/2
Brooklyn Heights,2 Pierrepont Street,203,11201,1,1,0,4640,0,RENTAL,0,f,f,,0.00,2025-07-15,2025-06-26,https://streeteasy.com/building/2-pierrepont-street-brooklyn/203
Upper West Side,25 West 83rd Street,4F,10024,1,1,0,3750,0,RENTAL,0,f,f,,0.00,2025-06-24,2025-06-26,https://streeteasy.com/building/25-west-83-street-new_york/4f
Bushwick,67 Stanhope Street,1E,11221,3,2,0,3700,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/67-stanhope-street-brooklyn/1e
Mott Haven,276 Grand Concourse,1026,10451,1,1,0,2634,0,RENTAL,0,f,f,,0.00,2025-07-01,2025-06-26,https://streeteasy.com/building/276-grand-concourse-bronx/1026
Bushwick,67 Stanhope Street,1G,11221,3,2,0,4000,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/67-stanhope-street-brooklyn/1g
Astoria,30-83 29th Street,A6,11102,1,1,0,2600,0,RENTAL,800,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/30_83-29-street-astoria/a6
Flatiron,5 East 22nd Street,PHB,10010,2,1,1,11995,0,CONDO,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/madison-green/phb
Downtown Brooklyn,260 Gold Street,521E,11201,2,2,0,5450,4996,RENTAL,770,f,f,12,1.00,2025-07-01,2025-06-26,https://streeteasy.com/building/260-gold/521e
West Village,27 Perry Street,B,10014,1,1,0,8500,0,TWOFAMILY,1000,f,f,,0.00,2025-06-09,2025-06-26,https://streeteasy.com/building/27-perry-street-new_york/b
