neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
West New York,55 Riverwalk Place,636,07093,2,2,0,3993,0,RENTAL,1129,f,f,,0.00,2025-12-11,2025-10-02,https://streeteasy.com/building/55-riverwalk-place-west_new_york/636
West New York,55 Riverwalk Place,902,07093,2,2,0,4238,0,RENTAL,1129,f,f,,0.00,2025-12-04,2025-10-02,https://streeteasy.com/building/55-riverwalk-place-west_new_york/902
Crown Heights,2305A Pacific Street,1,11233,1,1,0,2645,2498,TWOFAMILY,0,f,f,18,1.00,2025-10-15,2025-10-02,https://streeteasy.com/building/2305a-pacific-street-brooklyn/1
Briarwood,138-28 Queens Boulevard,7D,11435,2,1,0,3400,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/le-tour/7d
Stuyvesant Heights,616 Halsey Street,3L,11233,3,1,0,3595,0,MIXED_USE,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/262-malcolm-x-boulevard-brooklyn/3l
West New York,268 Roslyn Court,,07093,2,2,0,4400,0,CONDO,1228,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/rental/4874725
Bushwick,291 Cornelia Street,3D,11221,1,1,0,2600,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-02,https://streeteasy.com/building/291-cornelia-street-brooklyn/3d
Soho,79 Sullivan Street,4C,10012,1,1,0,3500,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/79-sullivan-street-new_york/4c
Bedford-Stuyvesant,362 Greene Avenue,3,11216,1,1,0,2950,0,THREEFAMILY,750,f,f,,0.00,2025-10-01,2025-10-02,https://streeteasy.com/building/362-greene-avenue-brooklyn/3
DUMBO,69 Adams Street,18D,11201,1,1,0,4620,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/bridgeview-dumbo/18d
Central Park South,150 Central Park South,1104,10019,1,1,0,2000,0,CO_OP,700,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/hampshire-house/1104
Waterfront,88 Morgan Street,3609,07302,1,1,0,3650,0,CONDO,843,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/88-morgan-residences/3609
Carnegie Hill,118 East 92nd Street,1B,10128,0,1,0,2800,0,RENTAL,0,f,f,,0.00,2025-10-15,2025-10-02,https://streeteasy.com/building/118-east-92-street-new_york/1b
Vinegar Hill,218 Front Street,7084,11201,0,1,0,3965,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/the-lightwell-dumbo/7084
Crown Heights,732 Saint Mark's Avenue,14,11216,3,1,0,3500,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/732-st-marks-avenue-brooklyn/14
Vinegar Hill,218 Front Street,7229,11201,2,2,0,5800,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/the-lightwell-dumbo/7229
Hell's Kitchen,635 West 42nd Street,16J,10036,1,1,0,4290,0,CONDO,0,t,f,,0.00,2025-12-24,2025-10-02,https://streeteasy.com/building/atelier-condominium/16j
West New York,582 66th Street,404,07093,1,1,0,2650,0,UNKNOWN,905,f,f,,0.00,2024-03-17,2025-10-02,https://streeteasy.com/building/582-66-street-west_new_york/404
Union City,534 29th Street,1,07087,2,1,0,1600,0,MULTIFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/534-29-street-union_city/1
Jersey City,112 Linden Avenue,2,07305,2,1,0,2100,0,HOUSE,800,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/112-linden-avenue-jersey_city/2
Park Slope,355 5th Avenue,FOUR,11215,2,1,0,4000,0,MIXED_USE,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/355-5-avenue-brooklyn/four
Secaucus,153 Weigands Lane,1,07094,2,1,0,1850,0,HOUSE,580,f,f,,0.00,2024-09-04,2025-10-02,https://streeteasy.com/building/153-weigands-lane-secaucus/1
Hoboken,230 Jefferson Street,2,07030,3,2,0,5100,0,HOUSE,1300,f,f,,0.00,2025-08-10,2025-10-02,https://streeteasy.com/building/230-jefferson-street-hoboken/2
The Heights,318 Terrace Avenue,1,07307,2,1,0,1500,0,HOUSE,1200,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/318-terrace-avenue-jersey_city/1
Edgewater,93 Myrtle Avenue,1,07020,3,2,0,4300,0,HOUSE,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/93-myrtle-avenue-edgewater/1
West New York,6000 Palisade Avenue,6,07093,3,1,0,3000,0,MULTIFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/6000-palisade-avenue-west_new_york/6
West New York,5004 Palisades Avenue,35,07093,1,1,0,1795,0,UNKNOWN,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/5004-palisades-avenue-west_new_york/35
Bayonne,149 Goldsborough Drive,2,07002,2,2,0,3400,0,UNKNOWN,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/149-goldsborough-drive-bayonne/2
Union City,408 29th Street,10B,07087,2,1,0,1725,0,MULTIFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/408-29-street-union_city/10b
Edgewater,93 Myrtle Avenue,GFL,07020,2,1,0,2700,0,HOUSE,1000,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/93-myrtle-avenue-edgewater/gfl
West New York,439 65th Street,BMT,07093,2,1,0,1900,0,HOUSE,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/439-65-street-west_new_york/bmt
The Heights,159 Hutton Street,12,07307,2,1,0,2150,0,UNKNOWN,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/159-hutton-street-jersey_city/12
DUMBO,69 Adams Street,20P,11201,1,1,0,4620,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/bridgeview-dumbo/20p
West New York,222 51st Street,10,07093,2,1,0,2350,0,UNKNOWN,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/222-51-street-west_new_york/10
Journal Square,55 Sip Avenue,BB,07306,2,1,0,2650,0,UNKNOWN,796,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/55-sip-avenue-jersey_city/bb
Hoboken,323 Monroe Street,E2,07030,1,1,0,2299,0,MULTIFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/323-monroe-street-hoboken/e2
West New York,574 57th Street,2,07093,2,1,0,2250,0,UNKNOWN,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/574-57-street-west_new_york/2
Flatbush,160 Clarkson Avenue,2G,11226,1,1,0,2831,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/160-clarkson-avenue-brooklyn/2g
East Williamsburg,312 Devoe Street,2Z,11211,1,1,0,3600,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/310-devoe-street-brooklyn/2z
Gowanus,584 Fourth Avenue,502,11215,1,1,1,3400,0,RENTAL,0,f,f,,0.00,2025-10-01,2025-10-02,https://streeteasy.com/building/584-fourth/502
