neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Hunters Point,10-63 Jackson Avenue,7B,11101,0,1,0,3200,0,CONDO,0,f,t,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/ten-63/rental/4669731
Lenox Hill,26 East 60th Street,10D,10022,0,1,0,4000,0,RENTAL,0,f,f,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/26-east-60-street-new_york/10d
Upper West Side,332 West 83rd Street,2,10024,1,1,0,2600,0,RENTAL,0,t,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/332-west-83-rd-street-house/2
Crown Heights,921 Washington Avenue,200,11225,3,1,0,5200,0,RENTAL,0,f,t,,0.00,2025-04-05,2025-03-03,https://streeteasy.com/building/botanical-house-921-washington-avenue-brooklyn/200
West Side,9 Bentley Avenue,16,07304,2,1,0,1995,0,MULTIFAMILY,920,f,f,,0.00,2022-08-31,2025-03-03,https://streeteasy.com/building/9-bentley-avenue-jersey_city/16
Bushwick,20 Suydam Street,1,11221,3,2,0,3800,0,TWOFAMILY,0,f,f,,0.00,2025-02-28,2025-03-03,https://streeteasy.com/building/20-suydam-street-brooklyn/1
Lenox Hill,306 East 78th Street,1,10075,0,1,0,2395,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/306-east-78-street-new_york/1
Crown Heights,941 Washington Avenue,500,11225,2,2,0,4150,0,RENTAL,0,f,t,,0.00,2025-04-05,2025-03-03,https://streeteasy.com/building/botanical-house-941-washington-avenue-brooklyn/500
Lenox Hill,35 East 63rd Street,3C,10065,1,2,0,11850,0,HYBRID,1377,f,f,,0.00,2025-03-01,2025-03-03,https://streeteasy.com/building/35-east-63-street-new_york/3c
East Village,46 Avenue B,13,10009,2,1,0,3795,0,RENTAL,0,f,f,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/46-avenue-b-new_york/13
Bay Ridge,501 68th Street,1,11220,4,1,0,4300,0,MIXED_USE,1104,f,f,,0.00,2025-02-28,2025-03-03,https://streeteasy.com/building/6753-5-avenue-brooklyn/1
East Village,222 1st Avenue,2A,10009,0,1,0,2500,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/222-1-avenue-new_york/2a
Crown Heights,247 Brooklyn Avenue,1R,11213,1,1,0,2900,0,MIXED_USE,0,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/247-brooklyn-avenue-brooklyn/1r
Bedford-Stuyvesant,298 Gates Avenue,4B,11216,4,1,0,4000,0,THREEFAMILY,0,f,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/298-gates-avenue-brooklyn/4b
East Village,101 Saint Mark's Place,5,10009,0,1,0,2895,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-03-03,https://streeteasy.com/building/101-st-marks-place-new_york/5
Stuyvesant Heights,619 Throop Avenue,2N,11216,1,1,0,3600,3086,RENTAL,530,f,t,14,2.00,2025-03-03,2025-03-03,https://streeteasy.com/building/the-exchange/2n
Murray Hill,216 East 36th Street,3F,10016,2,1,0,3199,0,RENTAL,0,t,f,,0.00,2025-04-03,2025-03-03,https://streeteasy.com/building/216-east-36-street-new_york/3f
Bushwick,1517 Dekalb Avenue,3C,11237,3,1,0,3500,0,RENTAL,1000,f,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/1517-de-kalb-avenue-brooklyn/3c
Williamsburg,117 South Fourth Street,5,11249,2,1,0,4000,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/117-south-4-street-brooklyn/5
East Village,194 East Second Street,3C,10009,3,1,0,8000,7250,RENTAL,0,f,t,16,1.50,2025-03-03,2025-03-03,https://streeteasy.com/building/194-east-2nd-street-new_york/3c
Flatiron,121 East 23rd Street,2C,10010,1,1,0,5695,0,CONDO,0,f,t,,0.00,2025-04-21,2025-03-03,https://streeteasy.com/building/crossing-23rd/2c
Hell's Kitchen,301 West 53rd Street,14D,10019,2,1,0,6200,0,CONDO,800,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/301-west-53rd-st-new_york/14d
Yorkville,340 East 87th Street,2B,10128,1,1,0,2700,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/340-east-87-street-new_york/2b
Crown Heights,1042 Union Street,3E,11225,0,1,0,2450,0,RENTAL,0,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/1042-union-street-brooklyn/3e
Bushwick,370 Palmetto Street,2T,11237,3,1,0,3600,0,RENTAL,0,f,t,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/370-palmetto-street-brooklyn/2t
Ozone Park,87-09 Dumont Avenue,A1,11417,0,1,0,1695,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/87_09-dumont-avenue-ozone_park/a1
Hell's Kitchen,353 West 51st Street,2B,10019,2,2,0,4500,0,RENTAL,0,f,t,,0.00,2025-03-15,2025-03-03,https://streeteasy.com/building/353-west-51-street-new_york/2b
Crown Heights,1145 Dean Street,7,11216,1,1,0,2600,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/1145-dean-street-brooklyn/7
Upper West Side,575 West End Avenue,5D,10024,2,1,1,8000,0,RENTAL,0,f,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/575-west-end-avenue-new_york/5d
Turtle Bay,212 East 47th Street,16H,10017,1,1,0,4500,0,CONDO,642,f,t,,0.00,2025-02-27,2025-03-03,https://streeteasy.com/building/212-east-47-street-new_york/16h
Carroll Gardens,505 Court Street,2Q,11231,2,1,0,4300,0,CONDO,925,f,t,,0.00,2025-05-01,2025-03-03,https://streeteasy.com/building/court-street-lofts/2q
Hamilton Heights,1885 Amsterdam Avenue,2B,10032,1,1,0,2150,0,RENTAL,0,f,f,,0.00,2025-03-03,2025-03-03,https://streeteasy.com/building/1885-amsterdam-avenue-new_york/2b
